ds,y
1949-01-01,112.0
1949-02-01,118.0
1949-03-01,132.0
1949-04-01,129.0
1949-05-01,121.0
1949-06-01,135.0
1949-07-01,148.0
1949-08-01,148.0
1949-09-01,136.0
1949-10-01,119.0
1949-11-01,
1949-12-01,
1950-01-01,115.0
1950-02-01,126.0
1950-03-01,141.0
1950-04-01,135.0
1950-05-01,125.0
1950-06-01,149.0
1950-07-01,170.0
1950-08-01,170.0
1950-09-01,158.0
1950-10-01,133.0
1950-11-01,114.0
1950-12-01,140.0
1951-01-01,145.0
1951-02-01,
1951-03-01,
1951-04-01,
1951-05-01,
1951-06-01,178.0
1951-07-01,199.0
1951-08-01,199.0
1951-09-01,184.0
1951-10-01,162.0
1951-11-01,146.0
1951-12-01,166.0
1952-01-01,171.0
1952-02-01,180.0
1952-03-01,193.0
1952-04-01,181.0
1952-05-01,
1952-06-01,
1952-07-01,
1952-08-01,
1952-09-01,
1952-10-01,
1952-11-01,172.0
1952-12-01,194.0
1953-01-01,196.0
1953-02-01,196.0
1953-03-01,236.0
1953-04-01,235.0
1953-05-01,229.0
1953-06-01,243.0
1953-07-01,264.0
1953-08-01,272.0
1953-09-01,237.0
1953-10-01,211.0
1953-11-01,180.0
1953-12-01,201.0
1954-01-01,204.0
1954-02-01,188.0
1954-03-01,235.0
1954-04-01,227.0
1954-05-01,234.0
1954-06-01,264.0
1954-07-01,302.0
1954-08-01,293.0
1954-09-01,259.0
1954-10-01,229.0
1954-11-01,
1954-12-01,
1955-01-01,
1955-02-01,
1955-03-01,
1955-04-01,
1955-05-01,
1955-06-01,
1955-07-01,
1955-08-01,
1955-09-01,
1955-10-01,
1955-11-01,
1955-12-01,
1956-01-01,
1956-02-01,
1956-03-01,
1956-04-01,
1956-05-01,
1956-06-01,
1956-07-01,
1956-08-01,
1956-09-01,
1956-10-01,
1956-11-01,
1956-12-01,306.0
1957-01-01,315.0
1957-02-01,301.0
1957-03-01,356.0
1957-04-01,348.0
1957-05-01,355.0
1957-06-01,422.0
1957-07-01,465.0
1957-08-01,467.0
1957-09-01,404.0
1957-10-01,347.0
1957-11-01,305.0
1957-12-01,336.0
1958-01-01,340.0
1958-02-01,318.0
1958-03-01,362.0
1958-04-01,348.0
1958-05-01,363.0
1958-06-01,435.0
1958-07-01,491.0
1958-08-01,505.0
1958-09-01,404.0
1958-10-01,359.0
1958-11-01,310.0
1958-12-01,337.0
1959-01-01,360.0
1959-02-01,342.0
1959-03-01,406.0
1959-04-01,396.0
1959-05-01,420.0
1959-06-01,472.0
1959-07-01,548.0
1959-08-01,559.0
1959-09-01,463.0
1959-10-01,407.0
1959-11-01,362.0
1959-12-01,405.0
1960-01-01,417.0
1960-02-01,391.0
1960-03-01,419.0
1960-04-01,461.0
1960-05-01,472.0
1960-06-01,535.0
1960-07-01,622.0
1960-08-01,606.0
1960-09-01,508.0
1960-10-01,461.0
1960-11-01,390.0
1960-12-01,432.0
